JID,CID,Smiles,Carbon,Fluorine,Chlorine,Bromine,Iodine,Sulfur,Phosphorous,Acyclic nitrogen,Cyclic nitrogen,Acyclic oxygen,Cyclic oxygen,Heavy atoms,Acyclic single bonds,Acyclic double bonds,Acyclic triple bonds,Cyclic single bonds,Cyclic double bonds,Cyclic triple bonds,Rotable bonds,H-bond acceptor sites,H-bond acceptor atoms,H-bond donor sites,H-bond donor atoms,Negative charges,Positive charges,Acyclic single valent nodes,Acyclic divalent nodes,Acyclic trivalent nodes,Acyclic tetravalent nodes,Cyclic divalent nodes,Cyclic trivalent nodes,Cyclic tetravalent nodes,3-membered rings,4-membered rings,5-membered rings,6-membered rings,7-membered rings,8-membered rings,9-membered rings,>= 10-membered rings,nodes shared by >= 2 rings,edges shared by >= 2 rings,Functional groups
6958,69916342,C1=CC=C2C(=C1)C3=CC(=NC=C3O2)C(=O)N,12,0,0,0,0,0,0,1,1,1,1,16,2,1,0,8,7,0,1,6,4,2,1,0,0,2,0,1,0,8,5,0,0,0,1,2,0,0,0,0,4,2,['Amide']
6959,43314946,C1CN(CC1N)C2=CC=CC3=CC=CC=C32,14,0,0,0,0,0,0,1,1,0,0,16,2,0,0,11,5,0,1,2,2,2,1,0,0,1,0,0,0,10,5,0,0,0,1,2,0,0,0,0,2,1,['Alkane'; 'Amine']
6960,81754917,CCOC(=O)CN(C)C1=C(C=CN=C1)C#N,11,0,0,0,0,0,0,2,1,2,0,16,8,1,1,3,3,0,4,7,5,0,0,0,0,4,4,2,0,4,2,0,0,0,0,1,0,0,0,0,0,0,['Alkane'; 'Ether'; 'Ester'; 'Nitrile']
6961,87711848,CC(CCCC(C)O)CCOC(=O)C(=C)C,13,0,0,0,0,0,0,0,0,3,0,16,13,2,0,0,0,0,8,6,3,1,1,0,0,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Alkane'; 'Vinylic carbon'; 'Hydroxyl'; 'Ether'; 'Ester']
6962,136300294,CCCNC(=O)CCN=C1NC(CCS1)C,11,0,0,0,0,1,0,2,1,1,0,16,8,2,0,6,0,0,5,5,4,2,2,0,0,3,6,1,0,4,2,0,0,0,0,1,0,0,0,0,0,0,['Alkane'; 'Amide'; 'Amine']
6963,43187973,CNCC(CN1C(=O)N2C=CC=CC2=N1)O,10,0,0,0,0,0,0,1,3,2,0,16,6,1,0,5,5,0,4,8,6,2,2,0,0,3,3,1,0,5,4,0,0,0,1,1,0,0,0,0,2,1,['Alkane'; 'Hydroxyl'; 'Amine']
6964,131260869,CC(=O)N(C)C1=CC=C(C=C1)C(=O)C(=O)O,11,0,0,0,0,0,0,1,0,4,0,16,7,3,0,3,3,0,3,9,5,1,1,0,0,6,0,4,0,4,2,0,0,0,0,1,0,0,0,0,0,0,['Alkane'; 'Hydroxyl'; 'Ketone'; 'Carboxylic acid'; 'Amide']
6965,86778352,CCN=C(N)N1CCC(C1)COCCOC,11,0,0,0,0,0,0,2,1,2,0,16,10,1,0,5,0,0,6,7,5,2,1,0,0,3,7,1,0,3,2,0,0,0,1,0,0,0,0,0,0,0,['Alkane'; 'Ether'; 'Amine']
6966,145373293,CCCCCC/C=C/C1CCCC1CCO,15,0,0,0,0,0,0,0,0,1,0,16,10,1,0,5,0,0,8,2,1,1,1,0,0,2,9,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,['Alkane'; 'Vinylic carbon'; 'Hydroxyl']
6967,79511732,CCC(CN)C1=NC2=C(S1)C=C(C=C2)OC,12,0,0,0,0,1,0,1,1,1,0,16,7,0,0,5,5,0,4,4,3,2,1,0,0,3,3,1,0,5,4,0,0,0,1,1,0,0,0,0,2,1,['Alkane'; 'Ether'; 'Amine']
6968,58429754,CC(C)OC1=CC=CC2=C1C(=NC(=C)C2)N,13,0,0,0,0,0,0,1,1,1,0,16,5,1,0,7,4,0,2,4,3,2,1,0,0,4,1,1,0,5,5,0,0,0,0,2,0,0,0,0,2,1,['Alkane'; 'Vinylic carbon'; 'Ether'; 'Amine']
6969,106130584,CC(CCCNCC1=C(N=CC=C1)OC)O,12,0,0,0,0,0,0,1,1,2,0,16,10,0,0,3,3,0,7,6,4,2,2,0,0,3,6,1,0,4,2,0,0,0,0,1,0,0,0,0,0,0,['Alkane'; 'Hydroxyl'; 'Ether'; 'Amine']
6970,136306913,CC1CCC2(C1)C(=O)NC(=NCCOC)N2,11,0,0,0,0,0,0,1,2,2,0,16,5,2,0,10,0,0,3,7,5,2,2,0,0,3,4,0,0,5,3,1,0,0,2,0,0,0,0,0,1,0,['Alkane'; 'Ether'; 'Amide'; 'Amine']
6971,21134345,CC(C)C/C=C/C1=CN=C2C(=C1)C=CC=N2,14,0,0,0,0,0,0,0,2,0,0,16,5,1,0,6,5,0,3,2,2,0,0,0,0,2,3,1,0,7,3,0,0,0,0,2,0,0,0,0,2,1,['Alkane'; 'Vinylic carbon']
6972,57712987,CN1C=CC(=N1)OC(=O)CC2=CC=CC=C2,12,0,0,0,0,0,0,0,2,2,0,16,5,1,0,6,5,0,3,6,4,0,0,0,0,2,2,1,0,8,3,0,0,0,1,1,0,0,0,0,0,0,['Alkane'; 'Ether'; 'Ester']
6973,115449044,CN1CCC(C1)CN(C)CC2(CCC2)CN,13,0,0,0,0,0,0,2,1,0,0,16,8,0,0,9,0,0,5,3,3,2,1,0,0,3,3,1,0,6,2,1,0,1,1,0,0,0,0,0,0,0,['Alkane'; 'Amine']
6974,142450537,CC(=N)C1=CC=C(C=C1)OCCCC(=O)N,12,0,0,0,0,0,0,2,0,2,0,16,8,2,0,3,3,0,6,6,4,3,2,0,0,4,4,2,0,4,2,0,0,0,0,1,0,0,0,0,0,0,['Alkane'; 'Ether'; 'Amide']
6975,150954172,CN(C1CCN(C1)CC2=CSC=N2)N=[N+]=[N-],9,0,0,0,0,1,0,4,2,0,0,16,5,2,0,8,2,0,4,6,6,0,0,1,1,2,3,1,0,7,3,0,0,0,2,0,0,0,0,0,0,0,['Alkane'; 'Azo']
6976,63100914,CC(C)C(=O)N1CCNCC2=CC=CC=C21,13,0,0,0,0,0,0,0,2,1,0,16,4,1,0,9,3,0,1,4,3,1,1,0,0,3,0,2,0,8,3,0,0,0,0,1,1,0,0,0,2,1,['Alkane'; 'Amide'; 'Amine']
6977,116280196,CCC(CCNC(C)C(=O)N(CC)CC)O,12,0,0,0,0,0,0,2,0,2,0,16,14,1,0,0,0,0,8,6,4,2,2,0,0,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Alkane'; 'Hydroxyl'; 'Amide'; 'Amine']
6978,80791205,CCCC1=C(N=CN=C1N(CC)CCO)N,11,0,0,0,0,0,0,2,2,1,0,16,10,0,0,3,3,0,6,6,5,3,2,0,0,4,5,1,0,3,3,0,0,0,0,1,0,0,0,0,0,0,['Alkane'; 'Hydroxyl'; 'Amine']
6979,82888329,CC1CC(C2=C(CS1)C=CC(=C2)C(C)C)O,14,0,0,0,0,1,0,0,0,1,0,16,5,0,0,9,3,0,1,2,1,1,1,0,0,4,0,1,0,6,5,0,0,0,0,1,1,0,0,0,2,1,['Alkane'; 'Hydroxyl']
6980,139376924,CCCNC1=C(C(=O)CSC1)N(CC)CC,12,0,0,0,0,1,0,2,0,1,0,16,9,1,0,5,1,0,6,4,3,1,1,0,0,4,5,1,0,3,3,0,0,0,0,1,0,0,0,0,0,0,['Alkane'; 'Vinylic carbon'; 'Ketone'; 'Amine']
6981,79155017,CC(C)N(CCCO)C(=O)N1CCCCC1,12,0,0,0,0,0,0,1,1,2,0,16,9,1,0,6,0,0,4,6,4,1,1,0,0,4,3,3,0,5,1,0,0,0,0,1,0,0,0,0,0,0,['Alkane'; 'Hydroxyl']
6982,62568952,CCC(CC)NCC(C)N(CC)CC(C)C,14,0,0,0,0,0,0,2,0,0,0,16,15,0,0,0,0,0,9,2,2,1,1,0,0,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Alkane'; 'Amine']
6983,66135508,CCN1C=NC=C1CNC(C)C(OC)OC,11,0,0,0,0,0,0,1,2,2,0,16,11,0,0,3,2,0,7,7,5,1,1,0,0,4,5,2,0,3,2,0,0,0,1,0,0,0,0,0,0,0,['Alkane'; 'Ether'; 'Amine']
6984,83626806,CC1=CC=CC=C1C(C)(C)CNC(=O)CN,13,0,0,0,0,0,0,2,0,1,0,16,9,1,0,3,3,0,4,4,3,3,2,0,0,5,3,1,1,4,2,0,0,0,0,1,0,0,0,0,0,0,['Alkane'; 'Amide'; 'Amine']
6985,80190960,CC1(CCC(C(C1)N2CCC(C2)(C)C)O)C,14,0,0,0,0,0,0,0,1,1,0,16,6,0,0,11,0,0,1,3,2,1,1,0,0,5,0,0,0,6,3,2,0,0,1,1,0,0,0,0,0,0,['Alkane'; 'Hydroxyl']
6986,103033105,CCC1=CC(=CC=C1)NCCC(C)(C)OC,14,0,0,0,0,0,0,1,0,1,0,16,10,0,0,3,3,0,6,3,2,1,1,0,0,4,5,0,1,4,2,0,0,0,0,1,0,0,0,0,0,0,['Alkane'; 'Ether'; 'Amine']
6987,105842168,COC1(CCC1)CNC(=O)CC2(CCC2)N,12,0,0,0,0,0,0,2,0,2,0,16,8,1,0,8,0,0,5,6,4,3,2,0,0,3,4,1,0,6,0,2,0,2,0,0,0,0,0,0,0,0,['Alkane'; 'Ether'; 'Amide'; 'Amine']
6988,106753473,CC1=NC=CC(=C1)C(=O)NC2(CCC2)CO,12,0,0,0,0,0,0,1,1,2,0,16,6,1,0,7,3,0,3,6,4,2,2,0,0,3,2,1,0,7,2,1,0,1,0,1,0,0,0,0,0,0,['Alkane'; 'Hydroxyl'; 'Amide']
6989,82068262,COCC1=NC2=C(C=CC=C2N1COC)N,11,0,0,0,0,0,0,1,2,2,0,16,7,0,0,5,5,0,4,7,5,2,1,0,0,3,4,0,0,4,5,0,0,0,1,1,0,0,0,0,2,1,['Alkane'; 'Ether'; 'Amine']
6990,116265494,CCCC(CNCC(CN(CC)CC)O)O,12,0,0,0,0,0,0,2,0,2,0,16,15,0,0,0,0,0,10,6,4,3,3,0,0,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Alkane'; 'Hydroxyl'; 'Amine']
6991,117312198,CN1C(=CC(=N1)C2=C(C=CC(=C2)O)OC)N,11,0,0,0,0,0,0,1,2,2,0,16,6,0,0,6,5,0,2,7,5,3,2,0,0,4,1,0,0,5,6,0,0,0,1,1,0,0,0,0,0,0,['Alkane'; 'Hydroxyl'; 'Ether'; 'Amine']
6992,105779509,CCCC1CC1NCCOCC(=O)OCC,12,0,0,0,0,0,0,1,0,3,0,16,12,1,0,3,0,0,9,7,4,1,1,0,0,3,9,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,['Alkane'; 'Ether'; 'Ester'; 'Amine']
6993,115528056,CC1CCCC(C1)C(C2=NC(=NC=C2)C)O,13,0,0,0,0,0,0,0,2,1,0,16,5,0,0,9,3,0,2,4,3,1,1,0,0,3,0,1,0,8,4,0,0,0,0,2,0,0,0,0,0,0,['Alkane'; 'Hydroxyl']
6994,61522071,CC1=CN=C(C=C1)NCCN2CCCCC2,13,0,0,0,0,0,0,1,2,0,0,16,5,0,0,9,3,0,4,3,3,1,1,0,0,1,3,0,0,9,3,0,0,0,0,2,0,0,0,0,0,0,['Alkane'; 'Amine']
6995,64502177,CCC1CCC(C1)(CN)N(CC)CCOC,13,0,0,0,0,0,0,2,0,1,0,16,11,0,0,5,0,0,7,4,3,2,1,0,0,4,6,1,0,3,1,1,0,0,1,0,0,0,0,0,0,0,['Alkane'; 'Ether'; 'Amine']
6996,123359010,CC1=CN=C(N=C1)C2=CC=C(C=C2)N=C=S,12,0,0,0,0,1,0,1,2,0,0,16,3,2,0,6,6,0,2,3,3,0,0,0,0,2,2,0,0,8,4,0,0,0,0,2,0,0,0,0,0,0,['Alkane']
6997,61904370,CCCCN(CC(C)(C(=O)N)NC)C1CC1,12,0,0,0,0,0,0,3,0,1,0,16,12,1,0,3,0,0,8,5,4,3,2,0,0,5,5,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,['Alkane'; 'Amide'; 'Amine']
6998,82871450,CCNC(CCCC1=NN(C=C1)C)C2CC2,13,0,0,0,0,0,0,1,2,0,0,16,9,0,0,6,2,0,7,3,3,1,1,0,0,2,5,1,0,5,3,0,1,0,1,0,0,0,0,0,0,0,['Alkane'; 'Amine']
6999,20824486,CC1=CC2=C(C=C1C(=O)OC)SCCC2N,12,0,0,0,0,1,0,1,0,2,0,16,5,1,0,8,3,0,1,5,3,2,1,0,0,4,1,1,0,5,5,0,0,0,0,2,0,0,0,0,2,1,['Alkane'; 'Ether'; 'Ester'; 'Amine']
7000,276791,COC1=CC(=CC(=C1)C(C(C(=O)O)N)O)OC,11,0,0,0,0,0,0,1,0,5,0,17,10,1,0,3,3,0,5,11,6,4,3,0,0,6,2,3,0,3,3,0,0,0,0,1,0,0,0,0,0,0,['Alkane'; 'Hydroxyl'; 'Ether'; 'Carboxylic acid'; 'Amine']
